1;816;9.900000;614;small
2;3627;9.900000;1304;small
3;1301;9.900000;1562;small
4;4970;9.900000;1766;small
5;3564;9.900000;831;small
6;1471;9.900000;1761;small
7;630;9.900000;234;small
8;1360;9.900000;248;small
9;1601;9.900000;671;small
10;5168;9.900000;1697;small
11;4896;9.900000;1854;small
12;2889;9.900000;1024;small
13;3343;9.900000;1138;small
14;674;9.900000;409;small
15;1686;9.900000;340;small
16;3044;9.900000;672;small
17;1252;9.900000;141;small
18;2122;9.900000;24;small
19;1874;9.900000;359;small
20;2157;9.900000;752;small
21;996;9.900000;418;small
22;3456;9.900000;146;small
23;5060;9.900000;1256;small
24;480;9.900000;1566;small
25;2483;9.900000;848;small
26;567;9.900000;1471;small
27;2815;9.900000;484;small
28;1047;9.900000;1946;small
29;1047;9.900000;119;small
30;808;9.900000;1922;small
31;4607;9.900000;1904;small
32;3530;9.900000;531;small
33;3106;9.900000;848;small
34;1601;9.900000;431;small
35;4818;9.900000;220;small
36;3858;9.900000;1121;small
37;2254;9.900000;807;small
38;3936;9.900000;1865;small
39;3854;9.900000;380;small
40;2483;9.900000;1107;small
41;1834;9.900000;1932;small
42;4377;9.900000;1270;small
43;4775;9.900000;1606;small
44;814;9.900000;1238;small
45;1940;9.900000;1184;small
46;2456;9.900000;1471;small
47;3704;9.900000;1593;small
48;4871;9.900000;610;small
49;5164;9.900000;1172;small
50;3284;9.900000;180;small
51;2000;9.900000;1876;small
52;2360;9.900000;88;small
53;4077;9.900000;1975;small
54;326;9.900000;463;small
55;1165;9.900000;1405;small
56;2901;9.900000;77;small
57;3976;9.900000;743;small
58;2832;9.900000;1082;small
59;2071;9.900000;902;small
60;951;9.900000;742;small
61;2738;9.900000;1715;small
62;3447;9.900000;1552;small
63;3200;9.900000;796;small
64;2205;9.900000;1957;small
65;5309;9.900000;1123;small
66;4902;9.900000;1265;small
67;3962;9.900000;282;small
68;5197;9.900000;851;small
69;4148;9.900000;719;small
70;1197;9.900000;697;small
71;1779;9.900000;893;small
72;3346;9.900000;276;small
73;5102;9.900000;1010;small
74;2046;9.900000;1640;small
75;3916;9.900000;187;small
76;4214;9.900000;344;small
77;5256;9.900000;7;small
78;4868;9.900000;1101;small
79;2189;9.900000;336;small
80;2076;9.900000;1772;small
81;3468;9.900000;750;small
82;945;9.900000;1005;small
83;2184;9.900000;96;small
84;3639;9.900000;654;small
85;1064;9.900000;989;small
86;4174;9.900000;598;small
87;4209;9.900000;720;small
88;3893;9.900000;544;small
89;5001;9.900000;1559;small
90;4052;9.900000;1901;small
91;3055;9.900000;1387;small
92;4481;9.900000;1536;small
93;5348;9.900000;1497;small
94;2923;9.900000;1512;small
95;4706;9.900000;796;small
96;4556;9.900000;384;small
97;969;9.900000;1768;small
98;2467;9.900000;403;small
99;1511;9.900000;1746;small
100;3837;9.900000;1446;small
101;531;9.900000;1768;small
102;2265;9.900000;561;small
103;563;9.900000;983;small
104;395;9.900000;92;small
105;3903;9.900000;770;small
106;4000;9.900000;1577;small
107;5344;9.900000;1349;small
108;2324;9.900000;361;small
109;3059;9.900000;1733;small
110;4622;9.900000;1283;small
111;4649;9.900000;890;small
112;2699;9.900000;93;small
113;2228;9.900000;500;small
114;5175;9.900000;1884;small
115;2635;9.900000;230;small
116;23;9.900000;487;small
117;466;9.900000;1754;small
118;2565;9.900000;1525;small
119;998;9.900000;1282;small
120;1929;9.900000;1394;small
121;5250;9.900000;331;small
122;1606;9.900000;1341;small
123;5465;9.900000;581;small
124;4241;9.900000;1204;small
125;3436;9.900000;307;small
126;5534;9.900000;2015;small
127;4650;9.900000;1310;small
128;4014;9.900000;1423;small
129;249;9.900000;647;small
130;1659;9.900000;761;small
131;4976;9.900000;1034;small
132;3251;9.900000;1925;small
133;4549;9.900000;691;small
134;4253;9.900000;83;small
